dataset_size,model_type,n_folds,train_n_mean,test_n_mean,train_r2_mean,train_mae_mean,train_rmse_mean,test_r2_mean,test_mae_mean,test_rmse_mean,test_r2_std,test_mae_std,test_rmse_std,training_s_mean,test_latency_s_mean,test_r2_ci95_low,test_r2_ci95_high,test_mae_ci95_low,test_mae_ci95_high,test_rmse_ci95_low,test_rmse_ci95_high
1000,lr,5,800.0,200.0,0.8138171443316112,6.674007791592926,8.519984877888927,0.8069064792005403,6.723178305482861,8.642604863870263,0.029474040494123,0.2154454274889606,0.5397285380733596,0.0392542663961648,0.0026476223021745,0.7703096242373878,0.8435033341636927,6.4556674745921985,6.990689136373524,7.972443369341422,9.312766358399104
1000,mpr,5,800.0,200.0,0.9216407040024616,4.421062998789119,5.524095250557196,0.8448646989089598,4.750037323664128,7.219391722255253,0.1322237985404332,0.3411580379333864,2.5888606775623435,0.0503286410123109,0.0079803839325904,0.6806871685555561,1.0090422292623633,4.326433670264407,5.173640977063849,4.004896622560682,10.433886821949823
1000,svm,5,800.0,200.0,0.982707059362714,1.7877249133827533,2.5964461930937555,0.97279352239426,2.168177537889336,3.221679693844263,0.007828456509543,0.1169129421273189,0.3749423998370894,0.0907418761402368,0.0157958578318357,0.9630732097848566,0.9825138350036634,2.0230109467257638,2.3133441290529086,2.756127214566427,3.6872321731220987
1000,rf,5,800.0,200.0,0.9980087480163148,0.5863972249999982,0.8810293139522368,0.9857961329024544,1.5694200333333346,2.340826373662451,0.0024927302937919,0.1365859162693915,0.2021772462982176,1.3277255170047284,0.1092807289212942,0.9827009994394211,0.9888912663654876,1.399826218439957,1.7390138482267121,2.0897901656779787,2.5918625816469234
1000,xgboost,5,800.0,200.0,0.9999527426750914,0.0993063785934448,0.1356212461308467,0.9930644580008772,1.091224250793457,1.6306020207664569,0.0015744830552381,0.1007359193211174,0.1873224062950199,8.378800786286593,0.0960010353475809,0.9911094790754061,0.9950194369263482,0.9661440864464664,1.2163044151404478,1.3980105328130321,1.8631935087198817
1000,lightgbm,5,800.0,200.0,0.999576766551074,0.2617962035736139,0.4060861636868956,0.9932749492061232,1.0576003924823318,1.6097984733771489,0.0013749040404869,0.0894065374331589,0.1616264871408911,18.439960126578807,0.0106219317764043,0.9915677803580658,0.9949821180541807,0.946587513747521,1.1686132712171426,1.4091126831381604,1.8104842636161373
10000,lr,5,8000.0,2000.0,0.7936508022466235,6.80085088072111,8.777707355384877,0.7917441373039298,6.81457523005747,8.814549435241217,0.0116551447385541,0.0739031932885621,0.2345412592390068,0.017186315357685,0.013232572004199,0.7772723636882131,0.8062159109196465,6.722812295598768,6.906338164516171,8.523327997550766,9.105770872931668
10000,mpr,5,8000.0,2000.0,0.8940121559228776,5.03317717650658,6.290548566209795,0.8804106249571241,5.076384834168093,6.65062135345306,0.0244605718331746,0.0476160176343098,0.6357325142247362,0.0232735980302095,0.0174184579402208,0.8500388135363941,0.910782436377854,5.017261739333735,5.135507929002451,5.861255178052641,7.439987528853479
10000,svm,5,8000.0,2000.0,0.9866141195441304,1.6588918656092335,2.235557678180909,0.9841944953121956,1.768008086732712,2.427572326516538,0.0011512169664894,0.0190196378859119,0.0835720232108171,5.2270472984761,0.9578177616000176,0.9827650706507843,0.9856239199736069,1.7443920871109027,1.7916240863545212,2.323803954038617,2.531340698994459
10000,rf,5,8000.0,2000.0,0.999433791632054,0.2776660341666679,0.4598060446519845,0.995981036703936,0.7483929566666677,1.224530753467882,0.0002422362913754,0.0169215899755978,0.0392114039016182,2.4296811915934087,0.1278559800237417,0.9956802606218768,0.9962818127859953,0.7273820276016022,0.7694038857317332,1.175843364924216,1.273218142011548
