stress_scenario,severity,mean_window_detection_rate_mean_decrease,mean_window_detection_rate_drop_ge_1,mean_pct_category_worse,mean_score_drop,mean_severity_monotonicity_rate_drop,min_severity_monotonicity_rate_drop
ammonia_pollution,high_300pct,0.5269158878504673,0.4752959501557632,0.1499392770118133,1.6483331775680408,0.8704672897196262,0.1271028037383177
ammonia_pollution,low_30pct,0.5948286604361371,0.15647975077881618,0.029020702631010743,0.42392601736094476,0.8704672897196262,0.1271028037383177
ammonia_pollution,medium_100pct,0.5655140186915888,0.4875077881619937,0.07674248172480796,1.0151296337535696,0.8704672897196262,0.1271028037383177
combined_pollution,high_300pct,0.7916199376947041,0.7907788161993768,0.7861294562166496,-38.300184815997795,0.7729906542056074,0.0
combined_pollution,low_30pct,0.897227414330218,0.8933644859813084,0.6070999290583264,4.693634639034496,0.7729906542056074,0.0
combined_pollution,medium_100pct,0.8085981308411214,0.8055140186915888,0.7614370037938373,-20.696318675330176,0.7729906542056074,0.0
conductivity_event,high_300pct,0.8884735202492211,0.33059190031152647,0.13584189876931613,1.7672215368482291,0.8173831775700935,0.3252336448598131
conductivity_event,low_30pct,0.836386292834891,0.11919003115264797,0.029644400234415922,0.26952193528514784,0.8173831775700935,0.3252336448598131
conductivity_event,medium_100pct,0.8572274143302181,0.27080996884735203,0.07567230807192864,0.8923448024185068,0.8173831775700935,0.3252336448598131
organic_pollution,high_300pct,0.8000934579439252,0.8,0.7458683600135714,-41.28448978810763,0.7996884735202492,0.0
organic_pollution,low_30pct,0.8965420560747663,0.8921806853582555,0.5553216310416088,3.43840198183939,0.7996884735202492,0.0
organic_pollution,medium_100pct,0.8099065420560747,0.8065420560747664,0.7008340242435459,-23.273422277717902,0.7996884735202492,0.0
suspended_solids_event,high_300pct,0.9387538940809969,0.877227414330218,0.22859920421948737,3.4018829351340547,0.9193769470404984,0.394392523364486
suspended_solids_event,low_30pct,0.9787850467289719,0.23588785046728972,0.04846762900589119,0.7045195607964877,0.9193769470404984,0.394392523364486
suspended_solids_event,medium_100pct,0.9605295950155763,0.7745171339563863,0.1187204867215693,1.8092469141980096,0.9193769470404984,0.394392523364486
