model_type,n_runs,n_per_run,r2_mean,r2_ci95_low,r2_ci95_high,mae_mean,mae_ci95_low,mae_ci95_high,rmse_mean,rmse_ci95_low,rmse_ci95_high,macro_f1_mean,macro_f1_ci95_low,macro_f1_ci95_high,accuracy_mean,latency_s_mean,training_s_mean
xgboost,5,10714,0.9992708121952576,0.9992304827518904,0.9993090224080402,0.2503810329953525,0.2475250692515313,0.2532378928238094,0.4072287949711839,0.3963618244867048,0.4176361665673259,0.970809569655005,0.966562015081518,0.9735891179761038,0.9878663431024826,0.0332031656056642,6.997841518372297
lightgbm,5,10714,0.998998458952831,0.998901070969908,0.9990608326581436,0.2919524011267062,0.2807772198624525,0.3066356490032919,0.4769703877727598,0.4619060238494076,0.4983570735956602,0.962503952447198,0.9589673636488898,0.9654288854673598,0.9857009520253872,0.0249036520719528,7.140933477878571
rf,5,10714,0.9976514966133092,0.9975522239718522,0.9977451862037648,0.4059966965341309,0.4003777039387722,0.411685344518077,0.731013251756576,0.7179896735119132,0.7447555629214412,0.908791096090586,0.90162303983809,0.9148704920001366,0.9785327608736234,0.0942695681005716,4.534624513238668
svm,5,10714,0.9650341943547712,0.964680108421856,0.9653127010137258,2.123649554304861,2.116163272250412,2.129026374479421,2.821286416064833,2.810681000671536,2.835533116403781,0.7990559292948496,0.79277221939623,0.8043678746777336,0.9002240059734925,11.331660882756116,52.33110513538122
mpr,5,10714,0.8465485047195276,0.8450986721652632,0.8481900009140602,4.738442431367514,4.717554835260884,4.755210262682275,5.910305463200571,5.877000661238725,5.938172872893178,0.5074364523284867,0.5049018599844447,0.5100521055520406,0.6769460518947171,0.0137680023908615,0.047528176382184
lr,5,10714,0.7193606118316531,0.7188563586473604,0.719948549270987,6.4536517763793615,6.45084235217661,6.456833835032415,7.992915699136193,7.984753695507224,8.003599104209888,0.3637075579205421,0.3633760607587498,0.3641288608025328,0.6523240619749859,0.0129341043531894,0.0165225274860858
