source,missing_set,experiment_mode,experiment,model_type,stress_scenario,severity,severity_rank,perturbation_pct,n_seed_window_cases,n_rows_total,mean_delta_score,median_delta_score,mean_score_drop,median_score_drop,mean_pct_score_decreased,mean_pct_drop_ge_1,mean_pct_drop_ge_5,mean_pct_category_worse,window_detection_rate_mean_decrease,window_detection_rate_drop_ge_1,window_detection_rate_any_category_worse
external_10714,complete,full_reference,full_reference,lightgbm,ammonia_pollution,high_300pct,2,300,535,53570,-3.049990007247035,-2.9919690742049863,3.049990007247035,2.9919690742049863,0.9014485055982232,0.7524056629962061,0.2248490793004534,0.193151475895253,1.0,1.0,1.0
external_10714,complete,full_reference,full_reference,lightgbm,ammonia_pollution,low_30pct,0,30,535,53570,-0.5911568476466311,-0.4428906382079276,0.5911568476466311,0.4428906382079276,0.8751895993337652,0.2178909965762931,0.0,0.0371155732395669,1.0,0.0,0.9626168224299064
external_10714,complete,full_reference,full_reference,lightgbm,ammonia_pollution,medium_100pct,1,100,535,53570,-1.530653587471101,-1.4236542045344898,1.530653587471101,1.4236542045344898,0.9011696122883316,0.5811248265013418,0.0033417229573424,0.097254927361895,1.0,0.9981308411214952,1.0
external_10714,complete,full_reference,full_reference,lightgbm,combined_pollution,high_300pct,2,300,535,53570,-27.766943497578843,-29.239898430997822,27.766943497578843,29.239898430997822,0.999981308411215,0.9998878504672898,0.9982811140927178,0.9953691126121958,1.0,1.0,1.0
external_10714,complete,full_reference,full_reference,lightgbm,combined_pollution,low_30pct,0,30,535,53570,-9.50534052099927,-9.747330785372183,9.50534052099927,9.747330785372183,0.987940223928935,0.9779529934301842,0.8380653280281299,0.5796857592301287,1.0,1.0,1.0
external_10714,complete,full_reference,full_reference,lightgbm,combined_pollution,medium_100pct,1,100,535,53570,-19.576849535428863,-20.12383274522726,19.576849535428863,20.12383274522726,0.999981308411215,0.99992523364486,0.9891744239844544,0.9259898214120476,1.0,1.0,1.0
external_10714,complete,full_reference,full_reference,lightgbm,conductivity_event,high_300pct,2,300,535,53570,-0.049002421296407,-0.0348135896971726,0.049002421296407,0.0348135896971726,0.7689190339594707,0.0,0.0,0.002389192190247,0.9981308411214952,0.0,0.2074766355140186
external_10714,complete,full_reference,full_reference,lightgbm,conductivity_event,low_30pct,0,30,535,53570,-0.0105886699629259,0.0,0.0105886699629259,0.0,0.3716792819468863,0.0,0.0,0.0005603775330804,0.9962616822429906,0.0,0.0542056074766355
external_10714,complete,full_reference,full_reference,lightgbm,conductivity_event,medium_100pct,1,100,535,53570,-0.0258180805440448,-0.0058963510473972,0.0258180805440448,0.0058963510473972,0.6358839640973444,0.0,0.0,0.0013256222818543,0.988785046728972,0.0,0.1252336448598131
external_10714,complete,full_reference,full_reference,lightgbm,organic_pollution,high_300pct,2,300,535,53570,-19.89497046506317,-22.36087437336145,19.89497046506317,22.36087437336145,0.9997943925233644,0.9994579439252336,0.9445827704265752,0.8978904413805866,1.0,1.0,1.0
