model_type,n_runs,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,nmae_mean,nmae_std,latency_s_mean
xgboost,5,0.9995698842553926,1.9346402010965608e-05,0.2638146206386829,0.0040269264735892,0.4241102533188299,0.0098879715862228,0.0029736174716494,7.442846543969038e-05,7.850624999031424
lightgbm,5,0.9994889964348348,1.014232862346421e-05,0.2882534312671289,0.0040218975237893,0.4623586449322752,0.0051148869968188,0.003249446695258,9.267204556836735e-05,91.02227597422898
rf,5,0.998990963626276,6.266764987020397e-05,0.3377814340223444,0.0069177419957624,0.6494103043681274,0.0202178663123943,0.0038062031387473,5.5344348888539496e-05,13.278249329701064
svm,5,0.9812848374693668,0.0004392458603465,1.91608676930494,0.0161989628679517,2.798003333650783,0.0314293688421952,0.0215951559191427,0.000342766281492,218.54902069941164
mpr,5,0.8994856508646902,0.0023077871555318,5.160339992337926,0.0151138616781134,6.484423220691485,0.0780098361942119,0.0581623956068722,0.0010015206452251,0.1608472626656293
lr,5,0.7803423704828428,0.00218097180865,7.555563165135233,0.0181935993582667,9.586270289020703,0.0412761455389821,0.0851583817037844,0.0014201063303431,0.0761958703398704
