model,actual_wqi_band,n,mae,rmse,bias,mean_predictive_accuracy_pct
LR,Bad,1180,10.914550847457628,12.554331223033234,4.878466101694915,52.88836396164198
LR,Fair,5463,4.149060955518945,5.370125322751894,-0.6440600402709135,92.96626996286977
LR,Good,1535,9.28127035830619,9.475199663568842,-9.28127035830619,87.03707342105919
LR,Poor,2515,7.671669980119284,9.06341762503117,4.765499005964214,80.19810719030356
LR,Terrible,21,9.889047619047618,11.108358714649672,8.649047619047618,29.051019519012215
LightGBM,Bad,1180,0.5007288135593221,0.7037862493298394,0.21889830508474573,97.84896336528156
LightGBM,Fair,5463,0.33751418634449937,0.5366675023272629,0.007867472084935006,99.41494542798645
LightGBM,Good,1535,0.09987622149837115,0.1259856255695975,0.007446254071660918,99.86033402425669
LightGBM,Poor,2515,0.6001471172962227,0.858820287535353,0.15125646123260436,98.51029142643296
LightGBM,Terrible,21,0.6014285714285715,0.936653109544322,0.3852380952380952,95.757434412258
MPR,Bad,1180,9.288915254237287,10.830136664395862,8.731372881355933,59.534200907774306
MPR,Fair,5463,5.107386051619989,6.291721330011908,2.8389145158337907,91.02517966681071
MPR,Good,1535,5.986078175895766,6.266133963890351,-5.986078175895766,91.64352598999868
MPR,Poor,2515,8.322986083499005,9.400511662822552,6.251097415506958,78.87566560370645
MPR,Terrible,21,14.296666666666667,14.593595953607283,14.296666666666667,-3.1709202920110653
RF,Bad,1180,0.6816101694915255,1.032532184420615,0.5018983050847458,97.07235973104413
RF,Fair,5463,0.2875636097382391,0.5376788235537902,0.06020867655134541,99.49569283336733
RF,Good,1535,0.06745276872964158,0.2693974456325727,-0.023100977198697074,99.90526005394855
RF,Poor,2515,0.7743896620278331,1.0826180071950504,0.380727634194831,98.03043880039297
RF,Terrible,21,1.4580952380952383,1.8234922016624608,1.2876190476190472,89.39700521226958
SVM,Bad,1180,3.626966101694915,5.255943334833725,2.345627118644068,83.73380640713802
SVM,Fair,5463,3.107539813289401,3.967984430327198,1.7075617792421747,94.64970129122007
SVM,Good,1535,2.0233941368078177,2.319845706988835,-2.0233941368078177,97.17680029549969
SVM,Poor,2515,3.3358290258449306,4.15540345248,1.960075546719682,91.63857824947888
SVM,Terrible,21,10.868571428571428,18.232638969976996,9.290476190476191,20.31384576941835
XGBoost,Bad,1180,0.46115254237288134,0.6485305423854606,0.09164406779661018,98.02674258901722
XGBoost,Fair,5463,0.3680395387149918,0.6180943296962925,0.01228995057660631,99.36121902415212
XGBoost,Good,1535,0.12155700325732935,0.18355146435031958,0.02407166123778524,99.82937848919947
XGBoost,Poor,2515,0.5839880715705765,0.8281310246789364,0.10478330019880723,98.5409830265396
XGBoost,Terrible,21,0.5395238095238098,0.7544502886839123,0.3157142857142857,96.1731134327178
