missing_set,experiment_mode,model_type,stress_scenario,severity,mean_window_detection_rate_mean_decrease,mean_window_detection_rate_drop_ge_1,mean_window_detection_rate_any_category_worse,mean_pct_category_worse,mean_pct_score_decreased,mean_pct_drop_ge_1,mean_pct_drop_ge_5,mean_score_drop,mean_delta_score,mean_severity_monotonicity_rate_drop,min_severity_monotonicity_rate_drop
complete,full_reference,lightgbm,ammonia_pollution,high_300pct,1.0,1.0,1.0,0.193151475895253,0.9014485055982232,0.7524056629962061,0.2248490793004534,3.049990007247035,-3.049990007247035,1.0,1.0
complete,full_reference,lightgbm,ammonia_pollution,low_30pct,1.0,0.0,0.9626168224299064,0.0371155732395669,0.8751895993337652,0.2178909965762931,0.0,0.5911568476466311,-0.5911568476466311,1.0,1.0
complete,full_reference,lightgbm,ammonia_pollution,medium_100pct,1.0,0.9981308411214952,1.0,0.097254927361895,0.9011696122883316,0.5811248265013418,0.0033417229573424,1.530653587471101,-1.530653587471101,1.0,1.0
complete,full_reference,lightgbm,combined_pollution,high_300pct,1.0,1.0,1.0,0.9953691126121958,0.999981308411215,0.9998878504672898,0.9982811140927178,27.766943497578843,-27.766943497578843,1.0,1.0
complete,full_reference,lightgbm,combined_pollution,low_30pct,1.0,1.0,1.0,0.5796857592301287,0.987940223928935,0.9779529934301842,0.8380653280281299,9.50534052099927,-9.50534052099927,1.0,1.0
complete,full_reference,lightgbm,combined_pollution,medium_100pct,1.0,1.0,1.0,0.9259898214120476,0.999981308411215,0.99992523364486,0.9891744239844544,19.576849535428863,-19.576849535428863,1.0,1.0
complete,full_reference,lightgbm,conductivity_event,high_300pct,0.9981308411214952,0.0,0.2074766355140186,0.002389192190247,0.7689190339594707,0.0,0.0,0.049002421296407,-0.049002421296407,0.9794392523364486,0.9794392523364486
complete,full_reference,lightgbm,conductivity_event,low_30pct,0.9962616822429906,0.0,0.0542056074766355,0.0005603775330804,0.3716792819468863,0.0,0.0,0.0105886699629259,-0.0105886699629259,0.9794392523364486,0.9794392523364486
complete,full_reference,lightgbm,conductivity_event,medium_100pct,0.988785046728972,0.0,0.1252336448598131,0.0013256222818543,0.6358839640973444,0.0,0.0,0.0258180805440448,-0.0258180805440448,0.9794392523364486,0.9794392523364486
complete,full_reference,lightgbm,organic_pollution,high_300pct,1.0,1.0,1.0,0.8978904413805866,0.9997943925233644,0.9994579439252336,0.9445827704265752,19.89497046506317,-19.89497046506317,1.0,1.0
complete,full_reference,lightgbm,organic_pollution,low_30pct,1.0,1.0,1.0,0.5088376052558526,0.980679374479504,0.9638754510965116,0.7523434810770796,7.943024225389079,-7.943024225389079,1.0,1.0
complete,full_reference,lightgbm,organic_pollution,medium_100pct,1.0,1.0,1.0,0.8139463310817062,0.9998317757009344,0.9994392523364488,0.9187067641343571,15.54661094338314,-15.54661094338314,1.0,1.0
complete,full_reference,lightgbm,suspended_solids_event,high_300pct,1.0,1.0,1.0,0.2588265013417229,0.8784595169797353,0.8653128527806052,0.4588562968446377,4.736447603881123,-4.736447603881123,1.0,1.0
complete,full_reference,lightgbm,suspended_solids_event,low_30pct,1.0,0.4299065420560747,0.988785046728972,0.0518156750254464,0.4092266123808642,0.2666732673267326,0.0223216433792911,0.9725219355691715,-0.9725219355691715,1.0,1.0
complete,full_reference,lightgbm,suspended_solids_event,medium_100pct,1.0,1.0,1.0,0.1382724160266494,0.7201362080133248,0.6224756176552235,0.1141648931248265,2.526420701629708,-2.526420701629708,1.0,1.0
complete,full_reference,lr,ammonia_pollution,high_300pct,1.0,1.0,1.0,0.2855195706486536,1.0,0.5508263162764875,0.3582885167021375,9.2597436403979,-9.2597436403979,1.0,1.0
complete,full_reference,lr,ammonia_pollution,low_30pct,1.0,0.5401869158878505,0.994392523364486,0.0571616544832053,1.0,0.2680521883964097,0.0600747663551401,1.0993905728750253,-1.0993905728750253,1.0,1.0
