sample_size,model,metric,n_runs,mean,ci95_low,ci95_high,std
100,LR,valid_r2,999,0.6704447005512292,0.6313644564656385,0.7095249446368198,0.6294553134354671
100,LR,valid_mae,999,6.832768547980584,6.698031084591488,6.9675060113696805,2.170181231809502
100,LR,valid_rmse,999,9.288827777721108,8.958185390562518,9.619470164879699,5.325570817524643
100,LR,train_time_sec,999,0.02677564220027518,0.026519748155183723,0.02703153624536664,0.004121618739292938
100,LightGBM,valid_r2,999,0.9222673028340688,0.9190081686814031,0.9255264369867344,0.052494024988723756
100,LightGBM,valid_mae,999,3.4850869138503593,3.4286918766221057,3.541481951078613,0.9083401771229905
100,LightGBM,valid_rmse,999,4.750234767612759,4.663891365531942,4.836578169693576,1.3907106900569302
100,LightGBM,train_time_sec,999,0.8813941951270566,0.8745482422298113,0.888240148024302,0.11026598035729364
100,MPR,valid_r2,999,-164.18636021140577,-482.8287180492571,154.45599762644554,5132.2894705407925
100,MPR,valid_mae,999,8.693903121605041,4.947157038108963,12.44064920510112,60.347863365052696
100,MPR,valid_rmse,999,19.032413336723327,2.285614055240469,35.77921261820619,269.7363344937084
100,MPR,train_time_sec,999,0.16230604097291826,0.16092784949621095,0.16368423244962557,0.022198171179405663
100,RF,valid_r2,999,0.93768396820449,0.9350806424471013,0.9402872939618786,0.04193108996460708
100,RF,valid_mae,999,3.057881681681677,3.001141514308026,3.114621849055328,0.9138990984892771
100,RF,valid_rmse,999,4.281527406965213,4.196336303365376,4.36671851056505,1.3721509185281797
100,RF,train_time_sec,999,6.643326580822762,6.629504912448092,6.657148249197433,0.2226220127982086
100,SVM,valid_r2,999,0.5494218737311509,0.5403841752978623,0.5584595721644395,0.14556785488856355
100,SVM,valid_mae,999,9.531753990717956,9.354426028069948,9.709081953365963,2.8561753111114814
100,SVM,valid_rmse,999,12.302744370817207,12.070980405029083,12.534508336605331,3.7329618363872914
100,SVM,train_time_sec,999,0.15825867629027296,0.15726708672637313,0.1592502658541728,0.015971274856342154
100,XGBoost,valid_r2,999,0.9327516517138198,0.9297969207115953,0.9357063827160443,0.04759108272326517
100,XGBoost,valid_mae,999,3.110584026720426,3.0526746125290063,3.168493440911846,0.932731852464667
100,XGBoost,valid_rmse,999,4.41921481420453,4.3313873857147165,4.507042242694343,1.4146135169270886
100,XGBoost,train_time_sec,999,1.5559478357389478,1.5519124620687785,1.559983209409117,0.06499671273348627
1000,LR,valid_r2,99,0.757960119130579,0.7421245327571194,0.7737957055040386,0.0793976714793793
1000,LR,valid_mae,99,7.060719900007887,6.873613167912498,7.247826632103275,0.9381300127533164
1000,LR,valid_rmse,99,9.353292322769155,9.009799323964216,9.696785321574094,1.722231411669739
1000,LR,train_time_sec,99,0.027621512461190222,0.02691635460476131,0.028326670317619134,0.0035355742759031494
1000,LightGBM,valid_r2,99,0.9917166302003843,0.9911444400501865,0.992288820350582,0.002868890642740778
1000,LightGBM,valid_mae,99,1.099398108988399,1.0608869035147135,1.1379093144620847,0.19309042105313332
1000,LightGBM,valid_rmse,99,1.7218407089570942,1.654562341683942,1.7891190762302465,0.3373254122989431
1000,LightGBM,train_time_sec,99,9.517207027685748,9.359212573737082,9.675201481634414,0.7921646508274826
1000,MPR,valid_r2,99,-14.120108260199304,-42.00367650492745,13.763459984528842,139.80476244809321
1000,MPR,valid_mae,99,7.096521474565013,6.075431845510259,8.117611103619767,5.119617108373542
1000,MPR,valid_rmse,99,18.462532395242167,4.1335482946006294,32.791516495883705,71.84375402496933
1000,MPR,train_time_sec,99,0.2430957808639059,0.23402311158615993,0.25216845014165185,0.04548924162119027
1000,RF,valid_r2,99,0.986195250070707,0.9853311690473157,0.9870593310940983,0.00433239537891508
1000,RF,valid_mae,99,1.5021148282828285,1.451581257839057,1.5526483987266,0.2533690720476989
1000,RF,valid_rmse,99,2.2285481697070706,2.1491303742823287,2.3079659651318125,0.3981910036068101
1000,RF,train_time_sec,99,82.85235379212122,82.27488593915282,83.42982164508962,2.8953523916696704
1000,SVM,valid_r2,99,0.8789227247844753,0.8736100834560941,0.8842353661128565,0.026636926535637366
1000,SVM,valid_mae,99,4.723150433652933,4.606975592063991,4.839325275241874,0.5824862868423479
1000,SVM,valid_rmse,99,6.619726574770398,6.439371229577214,6.800081919963583,0.9042793938592953
1000,SVM,train_time_sec,99,1.177786742798001,1.1672139447694634,1.1883595408265388,0.05301070163682719
1000,XGBoost,valid_r2,99,0.9883125292515557,0.9876273620673854,0.9889976964357259,0.003435343517709692
1000,XGBoost,valid_mae,99,1.3774968414576327,1.3319806876821114,1.423012995233154,0.22821236544360685
1000,XGBoost,valid_rmse,99,2.0547415189199687,1.9819178067550167,2.1275652310849207,0.3651290857200219
1000,XGBoost,train_time_sec,99,12.47761116124158,12.384827217655745,12.570395104827414,0.46520721731758036
5000,LR,valid_r2,19,0.7806174332000466,0.7736713412067977,0.7875635251932955,0.014411440534764685
5000,LR,valid_mae,19,7.188983772934533,6.90931858903837,7.4686489568306955,0.5802367966449052
5000,LR,valid_rmse,19,9.200067446190346,8.818954792744965,9.581180099635727,0.7907154623798068
5000,LR,train_time_sec,19,0.02966629831414469,0.028868644266588535,0.030463952361700845,0.0016549368889502872
5000,LightGBM,valid_r2,19,0.9974375377562484,0.9971860651511782,0.9976890103613186,0.0005217440969127728
5000,LightGBM,valid_mae,19,0.6258389956218094,0.5980623410244296,0.6536156502191893,0.05762975877283247
5000,LightGBM,valid_rmse,19,0.9885898243638338,0.934854519809202,1.0423251289184656,0.11148760295130092
5000,LightGBM,train_time_sec,19,7.564762554670632,7.410799859081654,7.71872525025961,0.3194349044339135
5000,MPR,valid_r2,19,0.8218423383954283,0.8098063399405416,0.833878336850315,0.02497175047173371
5000,MPR,valid_mae,19,6.5485490016784675,6.410848114253561,6.686249889103374,0.2856956332621453
5000,MPR,valid_rmse,19,8.240039126031329,8.040120063500865,8.439958188561793,0.414783116063523
5000,MPR,train_time_sec,19,0.5820471362063757,0.5516284787168642,0.6124657936958873,0.0631112680315117
5000,RF,valid_r2,19,0.9943748219590522,0.9938756541910394,0.9948739897270651,0.001035650926100515
5000,RF,valid_mae,19,0.9240629105263151,0.8757937121285284,0.9723321089241017,0.10014677073764054
5000,RF,valid_rmse,19,1.466371543442269,1.3870813095768013,1.5456617773077368,0.16450782561624247
5000,RF,train_time_sec,19,521.6119402458789,514.6779934685884,528.5458870231695,14.386242184708717
5000,SVM,valid_r2,19,0.9424166179999788,0.9368826445335003,0.9479505914664572,0.011481640267740952
5000,SVM,valid_mae,19,3.2896442193700866,3.142076815824448,3.4372116229157252,0.30616623896351314
5000,SVM,valid_rmse,19,4.67566722832958,4.489090104887295,4.8622443517718645,0.38710185846218004
5000,SVM,train_time_sec,19,26.11963854337989,25.610208531131097,26.62906855562868,1.0569425707697813
5000,XGBoost,valid_r2,19,0.9962882676494131,0.996069980356818,0.9965065549420082,0.0004528926970427771
5000,XGBoost,valid_mae,19,0.7599121940110853,0.7157870031004011,0.8040373849217696,0.09154896962385742
5000,XGBoost,valid_rmse,19,1.1921015663631815,1.1494799591935594,1.2347231735328037,0.08842940142717717
5000,XGBoost,train_time_sec,19,17.26479960742745,16.784527689601877,17.74507152525302,0.9964466625244354
10000,LR,valid_r2,9,0.7747343741327438,0.7566541226981514,0.7928146255673363,0.02352153384103764
10000,LR,valid_mae,9,7.282719208288681,7.056014575738442,7.509423840838919,0.2949317771238522
10000,LR,valid_rmse,9,9.39607016506401,8.99625556320977,9.79588476691825,0.5201394859842816
10000,LR,train_time_sec,9,0.032361639870537626,0.031411556462591576,0.033311723278483675,0.0012360126247500398
10000,LightGBM,valid_r2,9,0.9984624817456272,0.998247833834165,0.9986771296570894,0.0002792465653274674
10000,LightGBM,valid_mae,9,0.4872666899749243,0.4510889390749509,0.5234444408748976,0.047065506537051764
10000,LightGBM,valid_rmse,9,0.7748220417109676,0.7174474684871524,0.8321966149347828,0.07464154857476285
10000,LightGBM,train_time_sec,9,9.601962804794299,8.828375665143732,10.375549944444867,1.0063995044597909
10000,MPR,valid_r2,9,0.8225136276783043,0.809153572308627,0.8358736830479816,0.017380786745850012
10000,MPR,valid_mae,9,6.617826791653083,6.449810904452942,6.785842678853223,0.21858055408725283
10000,MPR,valid_rmse,9,8.338109514912203,8.040276402888553,8.635942626935853,0.38746649341625816
10000,MPR,train_time_sec,9,1.231936110390551,1.1351110305779957,1.3287611902031065,0.1259647521889412
10000,RF,valid_r2,9,0.9964512943665977,0.9961849135223397,0.9967176752108557,0.00034654861219631016
10000,RF,valid_mae,9,0.7070040666666656,0.6631257559877516,0.7508823773455796,0.057083562872747184
10000,RF,valid_rmse,9,1.1794630439708178,1.1312161842619828,1.2277099036796528,0.06276683415994412
10000,RF,train_time_sec,9,1137.9488182067835,1127.293234497923,1148.6044019156438,13.862399740992311
10000,SVM,valid_r2,9,0.9584748471506326,0.9532001209754621,0.963749573325803,0.006862163984849121
10000,SVM,valid_mae,9,2.8561134453416344,2.5909650567061515,3.121261833977117,0.34494524695898804
10000,SVM,valid_rmse,9,4.028668467215222,3.7632723285280685,4.294064605902375,0.34526755780989415
10000,SVM,train_time_sec,9,123.15560611089023,120.80063578708767,125.5105764346928,3.063702646301708
10000,XGBoost,valid_r2,9,0.9977531719572933,0.9975150660510873,0.9979912778634993,0.00030976428346901435
10000,XGBoost,valid_mae,9,0.5927083164893252,0.5471248745426663,0.6382917584359841,0.059301856294316294
10000,XGBoost,valid_rmse,9,0.937123828124045,0.8884572564654172,0.9857903997826729,0.06331285913455535
10000,XGBoost,train_time_sec,9,20.071482843822842,19.54378909986099,20.599176587784694,0.6865040733092164
20000,LR,valid_r2,4,0.7766689691879193,0.7560591721820192,0.7972787661938193,0.012952172655154448
20000,LR,valid_mae,4,7.3141163890570775,6.859580210404184,7.768652567709971,0.28565206451286457
20000,LR,valid_rmse,4,9.448618798449333,8.881200707067412,10.016036889831254,0.3565924053076756
20000,LR,train_time_sec,4,0.043680310249328544,0.04297703731559229,0.0443835831830648,0.0004419700232293059
20000,LightGBM,valid_r2,4,0.9988978766858532,0.998493012585059,0.9993027407866474,0.00025443577798747437
20000,LightGBM,valid_mae,4,0.430209973187787,0.35997949132827234,0.5004404550473016,0.04413616138182826
20000,LightGBM,valid_rmse,4,0.6598905336975169,0.5621028517657517,0.7576782156292822,0.06145441119895387
20000,LightGBM,train_time_sec,4,12.919049501419,11.318762285986356,14.519336716851644,1.0056962863916747
20000,MPR,valid_r2,4,0.8266833626519885,0.8097903781668339,0.8435763471371431,0.01061635161423139
20000,MPR,valid_mae,4,6.685613104828725,6.164290405946167,7.206935803711284,0.3276238772776359
20000,MPR,valid_rmse,4,8.327490657193875,7.610250535263267,9.044730779124484,0.4507476658692867
20000,MPR,train_time_sec,4,8.776070713996878,5.6402253173795955,11.911916110614161,1.9707137816656308
20000,RF,valid_r2,4,0.9978357317806955,0.997442800821695,0.998228662739696,0.00024693642645158656
20000,RF,valid_mae,4,0.5321394999999995,0.49576466929284413,0.568514330707155,0.0228596665695551
20000,RF,valid_rmse,4,0.9283458593738455,0.871170987655602,0.985520731092089,0.0359313975687873
20000,RF,train_time_sec,4,2488.1358966827324,2462.7178881828204,2513.5539051826445,15.973880506770396
20000,SVM,valid_r2,4,0.9654910129038623,0.949972354822767,0.9810096709849576,0.009752659804709032
20000,SVM,valid_mae,4,2.66603025810274,1.7623619642226294,3.5696985519828512,0.5679079595967563
20000,SVM,valid_rmse,4,3.698875362602788,2.7135554329756766,4.684195292229899,0.6192217150630608
20000,SVM,train_time_sec,4,483.01690757274577,464.98158646470574,501.0522286807858,11.334250056689676
20000,XGBoost,valid_r2,4,0.9985388464979206,0.9983016137224434,0.9987760792733977,0.0001490883130271621
20000,XGBoost,valid_mae,4,0.4856252955746642,0.44795397409155646,0.523296617057772,0.023674442783563537
20000,XGBoost,valid_rmse,4,0.7632147477280111,0.7220445999922539,0.8043848954637683,0.02587327092834005
20000,XGBoost,train_time_sec,4,21.521734178066225,20.444798357796408,22.598669998336042,0.6767974802790103
50000,LR,valid_r2,1,0.751851213312867,,,
50000,LR,valid_mae,1,7.89001388142858,,,
50000,LR,valid_rmse,1,10.0295579501073,,,
50000,LR,train_time_sec,1,0.066995620727539,,,
50000,LightGBM,valid_r2,1,0.999059809812116,,,
50000,LightGBM,valid_mae,1,0.400855598311281,,,
50000,LightGBM,valid_rmse,1,0.617353011800055,,,
50000,LightGBM,train_time_sec,1,21.1104097366333,,,
50000,MPR,valid_r2,1,0.794335154855259,,,
50000,MPR,valid_mae,1,7.34078042517357,,,
50000,MPR,valid_rmse,1,9.13073514610205,,,
50000,MPR,train_time_sec,1,9.97082448005676,,,
50000,RF,valid_r2,1,0.998661282,,,
50000,RF,valid_mae,1,0.40437856,,,
50000,RF,valid_rmse,1,0.736665499,,,
50000,RF,train_time_sec,1,6820.581861,,,
50000,SVM,valid_r2,1,0.966038324,,,
50000,SVM,valid_mae,1,2.712215692,,,
50000,SVM,valid_rmse,1,3.710396054,,,
50000,SVM,train_time_sec,1,3315.596464,,,
50000,XGBoost,valid_r2,1,0.998960402531952,,,
50000,XGBoost,valid_mae,1,0.417320738334655,,,
50000,XGBoost,valid_rmse,1,0.649169819015308,,,
50000,XGBoost,train_time_sec,1,30.0326600074768,,,
