DO,BOD,NH3N,EC,SS
96.2,1.5,0.22,171,2.6
99.2,1.5,0.22,183,5.7
98.8,1.4,0.23,252,4.8
99.6,0.8,0.05,680,1.4
98.1,1.3,0.06,231,5.3
98.4,1.7,0.1,226,6
51.6,1.3,1.75,14200,29.5
80.4,1.1,0.85,35000,11
102.6,0.8,0.1,257,25
21.4,2.3,1.02,421,24.4
15.3,6.8,1.19,444,8.3
86,6.5,1.07,482,8.1
91.4,0.5,0.05,136,1.6
76,4.4,1.32,246,4.7
104.4,0.7,0.12,100,3.9
69.4,2.4,0.69,149,15.5
59.9,2.2,1.4,163,22.3
38.7,4.9,2.13,178,32.5
98.5,0.4,0.05,142,1.4
97.5,0.7,0.04,94,4.4
84.4,1.8,0.61,136,6.1
92.3,2.2,0.54,171,3.8
68.8,17,0.45,190,24.7
100.4,3.7,0.12,160,2.1
101.1,0.1,0.14,145,2.7
92.2,1.6,0.23,190,6.1
98.1,1.2,0.03,124,3.4
100.3,1.2,0.05,144,7.5
96.8,0.3,0.09,106,2.4
14.8,4,3.36,309,32.5
30.7,2.4,2.91,789,26.7
61.7,8.4,0.81,174,60
62.4,1.4,0.35,200,4
58,1.2,0.76,211,9.3
40.2,2.6,1.01,222,8.8
73.2,1.9,0.71,202,3.4
67.4,1.8,0.89,204,6.8
41.8,2.2,0.96,218,9.1
108.6,1.3,0.06,236,15.6
105.4,0.3,0.04,222,7.6
81.3,17.5,14.1,2020,39.7
66.7,14.5,9.97,1470,51
50.4,35.2,9.15,1260,54.7
72.6,38.6,13.7,683,50.7
73.3,36.5,8.47,943,39
59,19.8,15.1,1810,44
51.7,28.4,9.17,1670,48.3
52.3,24.7,9.55,596,50.4
56.3,20.1,10,592,25.8
68.8,18.3,9.48,548,33.4
61.6,7.8,6.85,386,11.6
49.2,7.2,5.25,301,3.5
72.3,13.1,3.29,680,13.2
72.2,15.7,5.72,1040,18.8
84.8,14,6.79,906,42.6
79.2,9.5,1.29,832,15.6
69,10.4,2.59,1410,21.1
55.1,10.9,3.44,1730,16.1
78.2,1.5,0.15,240,3
58.5,11.1,13.2,1230,26.2
57.4,16.3,8.3,953,20.6
82.2,2.2,0.25,626,6.8
36.8,27.1,5.86,1720,61.8
90.6,8.2,0.97,604,8.2
82.6,8.3,4.78,661,16.6
133.2,0.4,0.05,449,7
81.8,10,1.66,522,17.3
85,5.6,11.9,2830,13.1
75.4,5.1,9.31,2810,14.6
113.5,4.8,2.81,647,26.9
60.8,5.1,6.04,2950,16.3
23,40.4,12.5,704,16.6
109.8,0.8,0.1,559,3.3
59,10.4,7.18,614,12.9
64.4,11.3,7.26,4230,25.5
86.2,11.9,9.38,3700,21
80.8,2.2,1.06,39400,31.5
67.6,6.6,6.95,4800,15.9
76.2,2,0.48,302,5.4
98.1,1.7,0.69,348,3.6
98,2.5,0.59,540,4
89.4,2.3,0.92,28700,45.3
82.7,5.6,0.92,354,4.1
119.8,0.9,0.02,329,9.8
126.4,0.4,0.02,325,2.6
112.8,0.2,0.01,347,2.2
105.8,0.9,0.02,355,1.1
108.4,0.8,0.01,257,1.1
95.4,4.3,0.75,475,31.4
111.4,1.1,0.19,710,7.8
109,1,0.11,388,5.4
107,2.1,0.03,395,3
100.4,0.8,0.11,471,3.2
61.6,2.9,2.81,4990,22.4
85,1.3,1.47,38100,17.3
71.6,7.5,27.9,14700,39.5
116.2,0.8,0.04,532,3.1
94,0.2,0.18,534,7.9
96.8,0.5,0.97,33700,14.4
104,0.1,0.06,167,2.8
115.4,8.9,0.05,310,3.6
92.2,8.3,0.02,158,1.1
102.6,0.4,0.01,412,2.2
108.1,0.6,0.03,413,23.5
101.8,0.4,0.03,410,1
118.2,0.3,0.02,210,1
104.4,2.8,0.02,264,1.5
106.4,1.1,0.03,251,1.4
110.4,5.5,0.03,263,2.4
104.2,1.2,0.05,221,2.9
130.8,5.5,0.06,264,8
102.9,0.7,0.02,273,1
109.8,0.6,0.07,368,21
86.2,2.6,1.91,460,68.9
116.4,0.7,0.1,518,1.6
97.6,3.2,4.24,509,17
85,2.1,2.89,520,53.4
103.4,10.8,2.28,451,9.6
59.4,5.7,4.33,488,5.6
60.6,2.1,2.69,404,29.5
79.4,7.6,1.83,503,9.6
93.8,17.1,0.34,480,6.8
108.7,1.9,0.3,558,57.7
106.3,0.2,0.09,338,23
102,0.2,0.07,360,3
95.1,3.6,0.67,197,25.8
103.4,1.1,0.13,295,48.1
103.8,1.1,0.11,304,32.9
95.1,2.4,1.34,754,39.3
99.5,19.5,0.36,602,170
101.7,29.4,0.25,548,137
107,0.7,0.04,476,6.9
110.6,0.9,0.04,481,9.8
98.2,8.7,0.24,574,313
94.4,0,0.15,539,98
93.1,0.8,0.23,542,111
87.6,3,1.35,582,122
63.9,32.5,1.29,748,125
61.9,3.9,2.17,685,330
47.2,10,7.31,1420,304
66.6,2.8,6.52,906,50
95.2,1.5,1.55,34800,73
85,1.6,0.41,669,8.2
87.8,1.5,0.59,786,52.5
59.8,10.8,7.07,1000,122
10.7,12.9,11.4,953,37.6
70.8,3.8,13.3,1400,11.8
70.2,3.7,10.2,1370,29.7
98.7,2.8,9.25,1580,25
93.8,2.7,5.88,6420,64
92.5,1.5,0.1,550,10.8
103.8,0.9,0.01,550,1.1
113.5,0.5,0.02,562,12.3
73,1.7,6.63,1030,15.3
60.8,3.1,7.37,1390,12.6
129.6,1.4,0.17,641,7.2
81.4,2.9,5.93,1140,69
114,1.8,0.99,30100,77.5
86.1,1.8,0.82,822,33.3
47.5,2.6,8.08,18100,31.5
35.6,8.2,7.45,1280,43.6
49,2.2,6.04,24100,38.7
46.2,3.3,5.34,869,61.1
104.2,0.3,0.02,722,5.4
97.8,1,0.01,530,119
106.8,0.8,0.03,638,13.5
87.8,0.8,0.46,894,21.8
72,0.1,0.25,1080,41.3
131.8,5.8,0.01,17500,27.4
97.4,0.8,0.09,33800,23
110,0.2,0.01,690,18.4
110.6,0.6,0.15,860,24.6
97.2,0.8,0.02,780,8
105,0.7,0.02,624,8.6
91.6,0.1,0.04,630,7.4
10.1,11.2,14.9,1110,12.2
54,8.3,5.62,15100,22.8
14.4,4.4,4.04,34000,13.1
29,6.7,7.74,4080,10.7
73.6,11.5,4.85,26800,36.5
54.9,8.2,12.9,1120,8.6
40.5,2,4.41,657,5.4
35.4,1.6,5.17,590,19.5
32,1.5,3.87,620,16.8
95.5,1.8,1.22,565,7
43.4,1.5,6.98,1160,24.7
75.4,0.1,0.02,452,8.4
50.3,5.7,3.49,971,25.2
16.8,13.7,15.4,1480,15
72.9,1.4,1.04,1050,15.9
98.4,0.9,0.08,672,100
117.7,3.6,6.95,717,21.7
43.4,4.5,6.26,5140,29.1
97.4,3.8,4.47,752,30.5
101,0.3,0.01,530,1.4
118.4,0.7,0.01,563,13.2
97.2,0.1,0.01,469,1
110.8,0.4,0.12,586,17.9
122.4,0.1,0.11,533,14.1
91.4,1.1,0.12,750,391
69.9,5.5,5.91,688,33.8
50.3,2.4,2.01,787,6.4
123.6,1.2,1.25,284,4.4
125.6,1.1,0.42,406,31.5
75.4,2.8,4.18,634,28.8
50.7,2.3,4.79,640,18.3
28.1,2.8,2.7,32700,68.3
122,1.1,2.44,316,6
96.1,1.2,0.35,537,69.8
78.1,0.7,1.16,842,34.9
111,1,0.01,338,1.6
102.6,0.8,0.01,413,2.6
110,0.3,0.01,628,3
101.8,0.8,0.03,442,52
100.3,37.2,0.05,183,5.1
105.3,1.2,0.02,254,5.8
103.2,1.3,0.03,220,12.2
94.7,18.2,0.12,210,3.2
100.6,0.8,0.05,147,1.8
109.8,1.4,0.04,148,2
99.8,1.2,0.04,143,3.1
80.2,1.4,0.12,173,3.6
74.1,1.9,0.35,222,13
66.9,1.7,0.59,466,17.5
107.8,1.3,0.06,136,3.8
98.5,1.5,0.04,479,94
100.7,1.2,0.06,462,101
91.2,1.7,0.09,464,150
94.4,0.2,0.04,417,5.4
59.3,3.3,1.24,207,10.8
47.5,2.4,0.89,732,57
103.3,1.4,0.08,138,3
55.2,2.2,0.6,14000,20.3
93,1.6,0.12,418,80.5
98,0.9,0.03,274,300
94.8,1.4,0.07,408,22.6
99.8,1.2,0.12,489,8.4
100.2,0,0.03,346,16.2
97.6,0.5,0.05,420,34.6
119.4,0.5,0.03,228,4.9
102.7,0.1,0.03,340,6.8
100.3,1.5,0.06,432,105
98.6,2.3,0.12,438,83.5
100.2,1.1,0.03,202,3.1
111.4,4.4,0.46,288,17.5
80.2,2.1,1.14,392,18.2
76.8,1.7,0.56,465,4.4
99.2,0.1,0.03,219,1.3
103.4,1.6,0.05,468,19.6
97.2,0.7,0.04,354,20.4
94.6,0.5,0.02,477,1.3
109.4,0.7,0.02,460,1
104.6,0.5,0.23,582,19.7
119.6,1.2,0.06,496,9.7
98.2,3.5,0.43,586,40
99.6,0.9,0.01,590,11
99.8,0.6,0.02,560,2.6
99.3,0.7,0.09,583,2.9
97.3,1.2,0.2,122,29.5
97,1.4,0.15,124,59
97.7,1.6,0.16,124,44.6
100.4,1.5,0.04,478,6.4
100.4,0.3,0.06,147,18.3
99.9,1.6,0.09,147,17
39.2,1.4,1.26,13200,39.9
54.7,2.6,0.98,31800,16.9
97.6,1.6,0.11,236,15.1
96.9,1.7,0.24,336,10
20.1,8.2,0.83,436,72.8
22.3,8,1,409,24.6
76.3,3.6,0.8,450,15.4
102.3,0.3,0.04,128,13.8
82.2,8.6,0.43,212,26.8
97.6,0.4,0.17,103,2.8
69.8,2.5,0.72,172,22.4
51.7,4.3,1.61,171,17.3
45.4,4.7,1.81,180,42.1
109.2,0.5,0.05,93,2
101.3,0.2,0.05,94,5.8
97,4.8,0.34,153,5.4
102.3,0.5,0.06,90,3
102.6,0.6,0.14,130,6.2
87.1,1.9,0.32,153,11.4
105.6,0.7,0.05,125,3.5
100.6,4.5,0.16,109,17.1
94.2,1.2,0.16,125,68.2
99.8,2,0.03,100,20.8
103.3,1.3,0.05,108,21.1
98.7,0.6,0.06,94,3
17.8,4.5,2.5,260,27.9
19.4,3.2,1.66,1130,32.8
91.9,1.2,0.29,146,6
80.3,3.3,0.33,158,55.3
72.2,4.7,0.45,163,57.7
65.2,5.8,0.56,168,55
90.5,1.9,0.32,145,59
86,2.8,0.26,154,59.2
63.6,5,0.38,158,47.4
98.3,1.5,0.05,212,26.6
90.8,0.3,0.03,256,36.8
82.7,16,11.6,2490,13.2
79.5,8.8,6.96,1600,24.2
56.6,14.6,8.25,1340,17.8
85.8,13.9,6.57,584,17.7
77.2,12.3,5.13,1070,21.4
55.9,13,10.5,2970,10.2
76.7,11.4,6.08,1690,17.6
70,8.6,8.54,539,8.8
66.2,13.9,8.57,527,13.9
62.5,10.8,8.56,692,25
75.3,4.5,3.32,336,6.8
73.9,4.5,7.4,389,11.3
70.2,7.7,5.29,621,10.1
84.6,5.8,4.03,1010,11.4
81,7.9,2.58,974,32.2
77.7,4.1,0.46,764,15
93.3,6.5,1.28,798,16.8
69.2,8.7,1.56,1750,18.2
88.7,1.3,0.1,241,3
70.9,13.1,8.08,1410,6.5
73.2,11.4,4.08,1020,37.6
96.6,1.8,0.35,697,7.5
67.4,9.9,2.11,1350,14.7
100.7,2.9,0.56,517,35.1
91.8,8.2,2.28,638,21.3
91.7,3.6,0.92,349,6.8
47.4,0.2,0.02,482,1
44.6,16,1.13,361,32.6
69.3,6.3,8.93,2600,13.1
52.4,13.5,8.44,2100,18
75.3,3.7,0.45,615,51.4
40.9,13.4,3.75,2000,37.6
77.6,3.9,1.11,582,11.7
52.6,5.8,0.81,488,19.1
69.7,7.6,2.15,413,18.8
55.8,9.4,9.78,4800,15.4
81.6,7.8,8.41,3550,12.2
69.4,2,1.79,20800,29.5
69.3,9.5,5.02,4280,17.8
88.3,2.5,0.23,233,20.8
92.8,2.7,0.27,297,8.8
93.8,2.6,0.29,404,8.3
70.8,2,0.78,14800,36.2
79.3,10,2.47,304,12.4
103.7,0.2,0.02,315,3.2
100.4,1,0.03,303,3.3
104.7,0.9,0.02,303,3.4
100.9,0.2,0.01,311,2.2
101.6,0.4,0.01,225,2.8
83.4,6.7,1.05,488,88.8
72.4,2.8,0.31,606,74.6
102.8,0.7,0.06,421,7
103.8,7.4,0.06,449,4.9
97.2,14.6,0.15,500,7.6
63.2,2.7,2.03,15700,16.4
77.6,2,1.61,38200,20.1
54.2,3,1.7,12000,18.9
96.8,4.2,0.3,378,37.2
84,3.8,1.08,342,12.3
68.4,4.9,1.31,22800,16.4
75.9,3.1,0.55,27400,34.8
98.6,1.5,0.1,190,5.5
107.2,1.2,0.06,310,7.2
87.4,0.9,0.03,191,3.3
100.8,0.1,0.03,415,4.3
104.6,0,0.02,417,8.2
100,1.8,0.06,392,93.8
101.7,4.8,0.02,202,1
97.1,10.1,0.04,276,2.6
100,1.5,0.04,252,2.7
102.6,0.1,0.03,288,2.5
100.6,2.6,0.06,224,6.2
109.6,7.6,0.06,293,13.8
106.6,1.4,0.09,1100,2.7
101.2,0.6,0.02,276,1
104.3,4.8,0.08,366,41.2
88.2,20.3,1.62,474,75.6
123.2,1.5,0.1,535,3.1
90.6,3.9,3.87,513,9.3
86,2.5,2.2,517,48.9
100.2,3.9,1.57,484,16.4
73.1,2.6,2.31,420,6.9
63.5,2.1,1.83,392,12.8
101.2,1.9,0.59,472,8
93.7,1.7,0.28,433,12
90.2,2.2,0.34,462,52.8
90.7,1.9,0.43,689,59.8
103.9,6.9,0.11,346,18
102.1,12.7,0.04,347,6.4
92.6,2.6,0.42,205,9.7
102,1,0.1,294,18.6
105,0.7,0.1,301,16.1
70.4,2.2,1.56,826,51.2
99.2,1.4,0.32,552,246
102,1.8,0.22,552,358
99.8,4.2,0.28,548,218
127.2,0.6,0.08,418,6.4
106.3,0.8,0.05,465,2.7
111.6,0.1,0.06,462,2.4
99.6,1.5,0.09,570,472
95.8,2.2,0.37,552,494
93.2,2.7,0.52,606,394
89.5,1.9,0.81,587,245
58.2,4.6,4.46,740,94.8
60,5.6,3.04,698,329
47.6,15.2,22.1,2330,189
64.6,4.5,5.74,840,55.4
68.4,7.7,2.56,17100,150
107.2,4.4,0.48,617,10
83.8,9.3,1.91,731,56.4
68.9,5.2,3.65,850,94.8
37,9.1,3.76,669,28
55.5,3.9,8.07,1240,39.9
36.6,2.2,9.66,1210,27.8
50.2,2.5,6.38,1230,35
45.8,3,2.53,2370,27.6
76.2,1.8,0.27,539,25.6
78.2,1.2,0.56,34600,45.1
104.1,0.6,0.01,536,2.4
108,1.4,0.01,528,19.6
71.8,1.8,5.54,1340,12.5
62.6,2.6,3.24,1070,14.6
108.4,1.8,0.13,676,15.6
86.6,2.5,3.59,1120,52.2
91.9,2.1,0.52,19300,50.8
74.5,1.5,0.9,862,28.5
15.8,1.8,5.34,12400,31.3
62.2,0.6,2.31,34000,38.5
24.5,7.6,6.05,859,79
17.8,1.5,4.66,18500,33.5
62.8,2.1,1.6,585,83.8
98.6,1,0.05,524,275
110.4,0.3,0.01,804,2.5
107,0.4,0.01,556,20.3
103,0.1,0.06,667,29.6
144.2,4.7,1.42,1090,17
62.9,1.1,0.3,1120,94.1
79.4,0.5,0.1,16800,61.1
106.3,1.4,0.02,29800,21.6
107.4,0.8,0.01,627,20.3
